Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин
08880-83717,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,1172,2432.0,2773.0,2432.0,2403.0,-29.0,—,—,—,—,1749.76,-682.24,дороже мин. на 682 руб. (28.1%),Froza 1 749.76,-682.24,-28.1
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,820,4838.0,5516.0,4838.0,4679.0,-159.0,—,—,5495.0,657.0,5640.57,802.5699999999997,дороже мин. на 159 руб. (3.3%),ATS 4 679,-159.0,-3.3
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,6,4491.0,5120.0,4491.0,3966.0,-525.0,—,—,5050.0,559.0,4331.17,-159.82999999999993,дороже мин. на 525 руб. (11.7%),ATS 3 966,-525.0,-11.7
1011223,"Моторное масло HYUNDAI XTeer D800 C3 CF 5W-40, ACEA A3/B3/B4/C3, синтетическое, (Корея), (1л)",Hyundai,Москва,В наличии,3,786.0,870.0,786.0,—,—,—,—,—,—,100.19,-685.81,дороже мин. на 686 руб. (87.3%),Froza 100.19,-685.81,-87.3
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,18,3276.0,3305.0,3276.0,2973.0,-303.0,—,—,—,—,—,—,дороже мин. на 303 руб. (9.2%),ATS 2 973,-303.0,-9.2
83215B5BFA4,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия), (1л)",BMW,Москва,В наличии,6659,1327.0,1513.0,1327.0,—,—,1292.5,-34.5,—,—,1533.27,206.26999999999998,дороже мин. на 34 руб. (2.6%),STparts 1 292.50,-34.5,-2.6
A000989320911ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, бензин/дизель, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,130,1627.0,1855.0,1627.0,1065.0,-562.0,1144.0,-483.0,—,—,—,—,дороже мин. на 562 руб. (34.5%),ATS 1 065,-562.0,-34.5
A000989440411FULW,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,204,1677.0,1912.0,1677.0,1436.0,-241.0,1495.41,-181.58999999999992,1930.0,253.0,—,—,дороже мин. на 241 руб. (14.4%),ATS 1 436,-241.0,-14.4
A000989681011FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,1030,913.0,1041.0,913.0,957.0,44.0,853.39,-59.610000000000014,1105.0,192.0,—,—,дороже мин. на 60 руб. (6.5%),STparts 853.39,-59.61,-6.5
A000989691013FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,485,4984.0,5682.0,4984.0,4969.0,-15.0,5000.6,16.600000000000364,—,—,—,—,дороже мин. на 15 руб. (0.3%),ATS 4 969,-15.0,-0.3
LIM10038-4EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Mazda,Москва,В наличии,1403,3123.0,3561.0,3123.0,2775.0,-348.0,—,—,—,—,—,—,дороже мин. на 348 руб. (11.1%),ATS 2 775,-348.0,-11.1
MZ320015,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Таиланд), (5л)",Mitsubishi,Москва,В наличии,130,2628.0,2996.0,2628.0,2403.0,-225.0,—,—,—,—,2922.92,294.9200000000001,дороже мин. на 225 руб. (8.6%),ATS 2 403,-225.0,-8.6
MZ320101,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Дубай), (5л)",Mitsubishi,Москва,В наличии,15,3665.0,4058.0,3665.0,3197.0,-468.0,3323.0,-342.0,—,—,—,—,дороже мин. на 468 руб. (12.8%),ATS 3 197,-468.0,-12.8
XT5QMC,"Трансмиссионное масло Ford Motorcraft ATF Mercon V, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,802,740.0,844.0,740.0,—,—,737.0,-3.0,—,—,875.02,135.01999999999998,дороже мин. на 3 руб. (0.4%),STparts 737,-3.0,-0.4
08234P99F4PY1,"Моторное масло Honda SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Honda,Москва,В наличии,143,3294.0,3756.0,3294.0,—,—,3744.17,450.1700000000001,—,—,—,—,дешевле мин. на 450 руб. (13.7%),STparts 3 744.17,450.17,13.7
