Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,PhoenixOil_цена,PhoenixOil_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6632.0,7561.0,6632.0,6852.0,220.0,—,—,4830.0,-1802.0,—,—,—,—,дороже мин. на 1802 руб. (27.2%),Autotrade 4 830,-1802.0,-27.2,—
08880-83714,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В наличии,663,2599.0,2963.0,2599.0,2393.0,-206.0,2461.8,-137.19999999999982,—,—,3133.5,534.5,—,—,дороже мин. на 206 руб. (7.9%),ATS 2 393,-206.0,-7.9,—
08880-83717,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,1169,2454.0,2798.0,2454.0,2403.0,-51.0,2585.0,131.0,—,—,1764.95,-689.05,—,—,дороже мин. на 51 руб. (2.1%),ATS 2 403,-51.0,-2.1,—
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,820,4884.0,5568.0,4884.0,4679.0,-205.0,4862.0,-22.0,5495.0,611.0,5336.34,452.34000000000015,—,—,дороже мин. на 205 руб. (4.2%),ATS 4 679,-205.0,-4.2,—
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,6,4533.0,5168.0,4533.0,3966.0,-567.0,4014.6,-518.4000000000001,5050.0,517.0,4369.21,-163.78999999999996,—,—,дороже мин. на 567 руб. (12.5%),ATS 3 966,-567.0,-12.5,—
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,18,3305.0,3335.0,3305.0,2973.0,-332.0,—,—,—,—,—,—,—,—,дороже мин. на 332 руб. (10.0%),ATS 2 973,-332.0,-10.0,—
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1930.0,2136.0,1930.0,—,—,1925.0,-5.0,—,—,—,—,—,—,дороже мин. на 5 руб. (0.3%),STparts 1 925,-5.0,-0.3,—
83215B5BFA4,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия), (1л)",BMW,Москва,В наличии,6647,1340.0,1528.0,1340.0,—,—,1292.5,-47.5,—,—,1471.52,131.51999999999998,—,—,дороже мин. на 48 руб. (3.5%),STparts 1 292.50,-47.5,-3.5,—
A000989320911ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, бензин/дизель, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,130,1642.0,1872.0,1642.0,1065.0,-577.0,1163.8,-478.20000000000005,—,—,—,—,—,—,дороже мин. на 577 руб. (35.1%),ATS 1 065,-577.0,-35.1,—
A000989440411FULW,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,204,1693.0,1931.0,1693.0,1436.0,-257.0,1495.41,-197.58999999999992,1930.0,237.0,—,—,—,—,дороже мин. на 257 руб. (15.2%),ATS 1 436,-257.0,-15.2,—
A000989671013FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,1,5214.0,5944.0,5214.0,565600.0,560386.0,5192.0,-22.0,—,—,—,—,—,—,дороже мин. на 22 руб. (0.4%),STparts 5 192,-22.0,-0.4,ATS
A000989681011FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,1018,923.0,1053.0,923.0,957.0,34.0,853.39,-69.61000000000001,1105.0,182.0,—,—,—,—,дороже мин. на 70 руб. (7.5%),STparts 853.39,-69.61,-7.5,—
A000989691013FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,465,5031.0,5736.0,5031.0,4969.0,-62.0,5087.5,56.5,—,—,—,—,—,—,дороже мин. на 62 руб. (1.2%),ATS 4 969,-62.0,-1.2,—
KE90799932,"Трансмиссионное масло Nissan Differential Fluid 80W-90 / GL-5, для МКПП, (Европа), (1л)",Nissan,Москва,В наличии,243,1698.0,1936.0,1698.0,1782.0,84.0,1604.14,-93.8599999999999,—,—,2131.08,433.0799999999999,—,—,дороже мин. на 94 руб. (5.5%),STparts 1 604.14,-93.86,-5.5,—
LIM10038-4EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Mazda,Москва,В наличии,1394,3151.0,3593.0,3151.0,2775.0,-376.0,2845.7,-305.3000000000002,—,—,—,—,—,—,дороже мин. на 376 руб. (11.9%),ATS 2 775,-376.0,-11.9,—
MZ320015,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Таиланд), (5л)",Mitsubishi,Москва,В наличии,130,2653.0,3025.0,2653.0,2403.0,-250.0,—,—,—,—,2922.92,269.9200000000001,—,—,дороже мин. на 250 руб. (9.4%),ATS 2 403,-250.0,-9.4,—
MZ320101,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Дубай), (5л)",Mitsubishi,Москва,В наличии,15,3699.0,4095.0,3699.0,3197.0,-502.0,3323.0,-376.0,—,—,—,—,—,—,дороже мин. на 502 руб. (13.6%),ATS 3 197,-502.0,-13.6,—
XT5QMC,"Трансмиссионное масло Ford Motorcraft ATF Mercon V, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,802,747.0,852.0,747.0,708.0,-39.0,737.0,-10.0,—,—,875.02,128.01999999999998,—,—,дороже мин. на 39 руб. (5.2%),ATS 708,-39.0,-5.2,—
08234P99F4PY1,"Моторное масло Honda SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Honda,Москва,В наличии,139,3325.0,3791.0,3325.0,3630.0,305.0,3570.6,245.5999999999999,3805.0,480.0,—,—,—,—,дешевле мин. на 246 руб. (7.4%),STparts 3 570.60,245.6,7.4,—
08880-84136,"Моторное масло Lexus SP 5W-40 / ILSAC GF-6, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,115,2619.0,2986.0,2619.0,2673.0,54.0,—,—,—,—,3189.8,570.8000000000002,—,—,дешевле мин. на 54 руб. (2.1%),ATS 2 673,54.0,2.1,—
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,311,4568.0,5208.0,4568.0,4587.0,19.0,4620.0,52.0,5780.0,1212.0,4852.77,284.77000000000044,—,—,дешевле мин. на 19 руб. (0.4%),ATS 4 587,19.0,0.4,—
4024610,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Япония), (4л)",Mitsubishi,Москва,В наличии,102,3423.0,3903.0,3423.0,3636.0,213.0,3652.0,229.0,4075.0,652.0,4323.8,900.8000000000002,—,—,дешевле мин. на 213 руб. (6.2%),ATS 3 636,213.0,6.2,—
A000989440411FDNE,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, A000989440411FDNE, (1л)",Mercedes-Benz,Москва,В наличии,562,1595.0,1819.0,1595.0,—,—,1611.5,16.5,—,—,—,—,—,—,дешевле мин. на 16 руб. (1.0%),STparts 1 611.50,16.5,1.0,—
A000989671011FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,344,1173.0,1338.0,1173.0,1176.0,3.0,1221.0,48.0,—,—,—,—,—,—,дешевле мин. на 3 руб. (0.3%),ATS 1 176,3.0,0.3,—
A000989681013FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5 (Германия), (5л)",Mercedes-Benz,Москва,В наличии,381,4451.0,5075.0,4451.0,4633.0,182.0,4725.6,274.60000000000036,—,—,—,—,—,—,дешевле мин. на 182 руб. (4.1%),ATS 4 633,182.0,4.1,—
