Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,ATS_нал,STparts_цена,STparts_Δ,STparts_нал,Autotrade_цена,Autotrade_Δ,Autotrade_нал,Froza_цена,Froza_Δ,Froza_нал,PhoenixOil_цена,PhoenixOil_Δ,PhoenixOil_нал,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6572.0,7493.0,6572.0,6944.0,372.0,82 шт,—,—,—,5095.0,-1477.0,под заказ,—,—,—,—,—,—,дороже мин. на 1477 руб. (22.5%),Autotrade 5 095,-1477.0,-22.5,—
08880-83717,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,1288,2523.0,2877.0,2523.0,2515.0,-8.0,2156 шт,2585.0,62.0,есть,—,—,—,3051.02,528.02,есть,—,—,—,дороже мин. на 8 руб. (0.3%),ATS 2 515,-8.0,-0.3,Froza
08880-84136,"Моторное масло Lexus SP 5W-40 / ILSAC GF-6, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,256,2523.0,2877.0,2523.0,2464.0,-59.0,158 шт,—,—,—,—,—,—,2999.26,476.2600000000002,есть,—,—,—,дороже мин. на 59 руб. (2.3%),ATS 2 464,-59.0,-2.3,Froza
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,815,5025.0,5729.0,5025.0,4679.0,-346.0,24 шт,4873.0,-152.0,есть,5795.0,770.0,250 шт,5599.78,574.7799999999997,есть,—,—,—,дороже мин. на 346 руб. (6.9%),ATS 4 679,-346.0,-6.9,Froza
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,305,4699.0,5357.0,4699.0,4561.0,-138.0,1800 шт,4620.0,-79.0,есть,6090.0,1391.0,250 шт,5093.26,394.2600000000002,есть,—,—,—,дороже мин. на 138 руб. (2.9%),ATS 4 561,-138.0,-2.9,Froza
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,725,4295.0,4897.0,4295.0,3966.0,-329.0,—,3695.0,-600.0,есть,5325.0,1030.0,под заказ,4650.07,355.0699999999997,есть,—,—,—,дороже мин. на 600 руб. (14.0%),STparts 3 695,-600.0,-14.0,Froza
39071,"Трансмиссионное масло Febi DSG, для робот. КПП с двойным сцеплением, (Германия), (5л)",Febi,Москва,В наличии,1,6248.0,6248.0,—,5763.0,-485.0,21 шт,5903.71,-344.28999999999996,есть,—,—,—,84.17,-6163.83,есть,—,—,—,дороже мин. на 485 руб. (7.8%),ATS 5 763,-485.0,-7.8,Froza
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,13,3402.0,3432.0,3402.0,2973.0,-429.0,—,—,—,—,—,—,—,—,—,—,—,—,—,дороже мин. на 429 руб. (12.6%),ATS 2 973,-429.0,-12.6,—
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1986.0,2199.0,1986.0,—,—,—,1925.0,-61.0,есть,—,—,—,—,—,—,—,—,—,дороже мин. на 61 руб. (3.1%),STparts 1 925,-61.0,-3.1,—
83215B5BFA4,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия), (1л)",BMW,Москва,В наличии,6611,1378.0,1571.0,1378.0,—,—,—,1362.9,-15.099999999999909,есть,—,—,—,1563.96,185.96000000000004,есть,—,—,—,дороже мин. на 15 руб. (1.1%),STparts 1 362.90,-15.1,-1.1,Froza
